,comment,download,follow,name,num_score,score,tags,volume
3169,21.0,7121.0,633.0,每日环球展览iMuseum,18.0,4.3,"['艺术', '展览']",4.05
3170,48.0,7015.0,678.0,哔哩封面姬,17.0,4.0,[],2.21
3171,16.0,7016.0,137.0,Gaaiho PDF阅读器,10.0,4.0,"['小说', '电子书', 'pdf', '阅读器']",5.96
3172,18.0,7033.0,56.0,万能相机,36.0,3.2,"['相机', '多功能', '拼图', '特效', '自拍']",18.11
3173,34.0,7033.0,622.0,SingPlay无限K歌伴奏工厂,20.0,4.4,"['录歌', '伴奏', '翻唱']",13.37
3174,23.0,7042.0,329.0,视频剪辑助手,16.0,4.0,[],40.43
3175,43.0,7043.0,202.0,Candy桌面,5.0,4.2,['启动器'],1.92
3176,43.0,7076.0,191.0,lan - Xperia主题,18.0,4.4,"['xperia主题', 'sony', '索尼']",5.26
3177,22.0,7089.0,191.0,新概念英语,7.0,4.1,['外语学习'],17.9
3178,42.0,7108.0,278.0,超鱼TV,22.0,4.1,"['电视', '电视直播']",27.46
3179,63.0,7002.0,227.0,微警认证,8.0,3.5,"['社区o2o', '生活服务']",18.59
3180,30.0,6950.0,36.0,德邦快递,12.0,4.0,"['物流', '快递查询', '快递']",21.55
3181,15.0,6952.0,11.0,包商银行,5.0,3.8,"['银行', '电子银行']",60.85
3182,34.0,6957.0,131.0,猫闲,20.0,3.9,"['杂志', '影视']",13.55
3183,9.0,6964.0,106.0,瓦拉淘,10.0,4.1,"['海淘', '电商']",9.83
3184,13.0,6966.0,79.0,MSN健康,13.0,4.1,"['健康', '身体', '新闻', '阅读']",8.46
3185,10.0,6973.0,24.0,斗鱼手游TV,21.0,3.3,"['直播', '电竞', '游戏', '手游']",16.94
3186,18.0,6978.0,153.0,果冻橡皮章,23.0,3.4,"['橡皮', '刻章', '素材', '制作']",6.05
3187,20.0,6979.0,85.0,地图淘金,185.0,1.8,['百度'],14.22
3188,66.0,6984.0,506.0,咩咩,34.0,4.8,[],2.78
3189,48.0,6990.0,306.0,网速悬浮窗,18.0,4.4,"['流量', '悬浮窗', '网速']",1.11
3190,86.0,6917.0,623.0,Mocard图标包,27.0,4.5,['图标'],7.55
3191,142.0,6920.0,648.0,wi极简输入法,21.0,4.1,"['输入法', '极简', '智能', '中文']",12.92
3192,65.0,6925.0,67.0,掌上理工大,59.0,4.7,"['学习', '生活']",11.74
3193,188.0,6930.0,542.0,多少天后啪啪啪,15.0,4.0,"['生活服务', '时间管理', '自我控制']",0.768017578125
3194,85.0,6933.0,413.0,快递查询,27.0,4.5,"['快递查询', '快递']",3.52
