,_id,comment,download,follow,name,num_score,score,tags,volume
35,5c26c696b031602c92ea9fd9,5590,373万,4526,LBE安全大师(免ROOT),1927,3.6,"['安全防护', '隐私', '手机安全']",14.10M
36,5c26c698b031602c92ea9fda,2283,379万,2827,滴滴出行,1596,2.0,"['打车', '的士', '小费', '快车', '顺风车', '专车', '拼车', 'O2O', '出行', '出租车', '滴滴打车', '装机必备']",70.35M
37,5c26c699b031602c92ea9fdb,1.2万,403万,7400,百度输入法,5674,2.6,"['输入法', '拼音', '装机必备']",25.82M
38,5c26c69bb031602c92ea9fdc,4067,415万,2824,腾讯视频,1572,2.1,"['视频', '腾讯', 'qq', '好声音', 'NBA', '小编推荐']",45.88M
39,5c26c69db031602c92ea9fdd,6067,315万,4430,联通手机营业厅(官方版),1332,2.5,"['中国联通', '营业厅', '运营商']",37.87M
40,5c26c69eb031602c92ea9fde,3878,266万,4600,闲鱼,1792,4.1,"['二手', '咸鱼', '淘宝']",50.46M
41,5c26c69fb031602c92ea9fdf,2256,281万,2091,饿了么,1419,2.3,"['外卖', '团购', '优惠', '打折', '订餐', '小编推荐']",42.49M
42,5c26c6a0b031602c92ea9fe0,2898,282万,2354,网易新闻（官方）,1330,2.8,"['163', '网易', '新闻', '小编推荐']",24.84M
43,5c26c6a2b031602c92ea9fe1,1634,284万,1032,墨迹天气,922,2.5,['天气'],17.22M
44,5c26c6a3b031602c92ea9fe2,2536,293万,1834,斗鱼直播,1746,1.9,"['直播', '游戏']",53.88M
45,5c26c6a4b031602c92ea9fe3,2.2万,298万,2.0万,夸克浏览器,4999,4.4,"['夸克', 'quark', '浏览器', '网页', '浏览', 'chrome']",33.72M
46,5c26c6a5b031602c92ea9fe4,793,302万,3458,QQ同步助手 换机必备通讯录软件照片一键安全备份,604,3.0,"['同步', '联系人', '备份', '通讯录', '装机必备']",13.73M
47,5c26c6a6b031602c92ea9fe5,4057,303万,1.4万,静读天下:Moon+ Reader Pro,2105,4.6,"['阅读', '读书', '电子书', '阅读器']",11.81M
48,5c26c6a7b031602c92ea9fe6,3980,308万,2609,爱奇艺,1649,2.0,"['视频', '百度', '资讯', '直播', '综艺', '时尚', '在线视频']",33.59M
49,5c26c6aab031602c92ea9fe7,5108,248万,3409,QQ浏览器-腾讯王卡，全网免流量,2208,2.8,"['浏览器', '装机必备', 'QQ浏览器']",32.93M
50,5c26c6acb031602c92ea9fe8,2183,226万,2257,KingRoot-一键权限获取，授权管理,1495,2.4,"['root', '权限管理', '安全防护']",10.98M
51,5c26c6adb031602c92ea9fe9,638,228万,2164,Adobe Flash Player,285,3.8,"['flash', 'adobe', '视频']",4.49M
52,5c26c6aeb031602c92ea9fea,3598,231万,2257,今日头条,1381,2.3,"['新闻', '阅读器', '小编推荐']",27.50M
53,5c26c6afb031602c92ea9feb,689,236万,608,暴风影音视频播放器,676,2.1,"['视频', '音乐', '播放器']",25.83M
54,5c26c6b0b031602c92ea9fec,8579,236万,3640,虾米音乐,2138,3.5,"['mp3', '音乐', '听歌', '虾米', '音乐电台']",64.51M
55,5c26c6b1b031602c92ea9fed,2743,237万,5445,多看阅读,1554,4.1,"['阅读器', '书友圈', '小说', '出版文学', '图书', '杂志', '电子书', '付费阅读', '网络原创']",22.53M
56,5c26c6b2b031602c92ea9fee,1439,241万,2686,网易有道词典-英语学习翻译,1512,3.6,"['有道', '词典', '网易', '辞典']",103.06M
57,5c26c6b3b031602c92ea9fef,5258,242万,1.5万,颜咚 *实用工具*,1882,3.4,[],2.76M
58,5c26c6b5b031602c92ea9ff0,2117,246万,6205,印象笔记,955,4.2,"['记事本', '文档']",43.55M
59,5c26c6b7b031602c92ea9ff1,6549,225万,1.3万,Share微博客户端,3142,4.7,"['微博', '新浪微博']",8.76M
60,5c26c6b8b031602c92ea9ff2,3530,195万,2412,抖音短视频,959,2.6,"['搞笑', '短视频']",66.45M
61,5c26c6bab031602c92ea9ff3,231,195万,1885,Adobe AIR for Android,113,4.2,"['flash', 'Adobe', '视频']",21.69M
62,5c26c6bbb031602c92ea9ff4,1421,195万,1596,中国工商银行,740,2.0,"['银行', '工行', '工商银行']",123.34M
63,5c26c6bcb031602c92ea9ff5,1420,214万,3153,QQ邮箱,1367,3.9,"['邮箱', 'qq', '腾讯']",17.49M
64,5c26c6bdb031602c92ea9ff6,647,214万,621,QQ阅读-小说漫画电子书阅读器,513,2.5,"['阅读', '图书', '腾讯', '小编推荐']",29.63M
65,5c26c6beb031602c92ea9ff7,420,214万,745,YY,445,2.1,"['yy', '多玩', '即时聊天', '语音']",58.70M
66,5c26c6bfb031602c92ea9ff8,495,215万,1782,大众点评,437,2.4,"['餐馆', '购物', '美食', '美食', 'o2o', '周边信息', '生活', '门票', '优惠', '团购', '外卖', '酒店', '小编推荐']",78.58M
67,5c26c6c1b031602c92ea9ff9,651,217万,1524,QQ日本版,334,3.4,['聊天'],20.95M
68,5c26c6c1b031602c92ea9ffa,341,221万,2180,PDF阅读器 Adobe reader,233,4.4,"['PDF', '阅读器']",20.54M
69,5c26c6c2b031602c92ea9ffb,926,225万,1484,猎豹清理大师国际版:Clean Master,608,2.7,"['缓存', '清理优化']",19.30M
70,5c26c6c5b031602c92ea9ffc,5017,174万,1.3万,Pure天气,2542,4.7,"['天气', '酷友作品']",2.14M
71,5c26c6c6b031602c92ea9ffd,2669,175万,3475,QQ国际版,997,3.5,['聊天'],21.75M
72,5c26c6c7b031602c92ea9ffe,1057,176万,2305,QQ安全中心,807,2.9,"['安全', '令牌']",13.90M
73,5c26c6c8b031602c92ea9fff,214,177万,565,BeautyCam美颜相机,119,3.8,"['拍照', '摄影']",66.02M
74,5c26c6cab031602c92eaa000,8075,182万,1.9万,冰箱 Ice Box,2202,4.5,"['冻结', '禁止', '后台', '免root', '小编推荐']",3.45M
75,5c26c6cbb031602c92eaa001,958,186万,1.0万,扫描全能王,634,4.4,"['ocr', '扫描']",47.53M
76,5c26c6ccb031602c92eaa002,4973,186万,1809,安兔兔评测,774,2.4,"['评测', '安兔兔', '跑分', '辅助加强']",55.43M
77,5c26c6ceb031602c92eaa003,460,191万,555,爱奇艺PPS,279,2.5,"['网络视频', '视频', '网络电视', '直播', '综艺', '电视直播', '在线视频', '栏目', '少儿', '电视', '动漫', '电影', '播放器', '电视剧', '点播', '视频播放器', '综合视频']",32.90M
78,5c26c6cfb031602c92eaa004,618,192万,1341,美图秀秀,452,3.2,"['美图', '图片处理', '图片', 'pic', '图像铃音', '修图']",69.12M
79,5c26c6d0b031602c92eaa005,677,193万,791,MOMO陌陌,472,2.0,"['交友', 'lbs', '社交']",63.17M
80,5c26c6d3b031602c92eaa006,2254,165万,2848,QQ HD,1045,3.8,"['腾讯', '平板', 'qq', 'pad', '即时聊天']",31.36M
81,5c26c6d4b031602c92eaa007,9740,166万,1.1万,即刻,5231,4.3,"['新闻', '资讯', '阅读', '推送', '知乎', 'RSS', '社交', 'IFTTT']",14.32M
82,5c26c6d6b031602c92eaa008,630,167万,4218,影音先锋,556,3.7,['播放器'],29.29M
83,5c26c6d7b031602c92eaa009,6511,167万,1.1万,X浏览器,7940,4.7,['浏览器'],867.80K
84,5c26c6d8b031602c92eaa00a,1186,168万,1444,天猫,922,1.9,"['淘宝', '电商', '小编推荐']",80.80M
85,5c26c6d9b031602c92eaa00b,597,169万,1187,蜻蜓FM-听书,327,2.5,"['电台', '广播']",24.12M
86,5c26c6dab031602c92eaa00c,862,170万,4550,什么值得买,553,3.2,"['购物', '电子商务', '导购', '张大妈', '小编推荐']",28.93M
87,5c26c6dbb031602c92eaa00d,856,171万,786,掌上英雄联盟,406,2.6,"['LOL', '英雄联盟']",49.29M
88,5c26c6ddb031602c92eaa00e,2140,173万,1272,快手,1744,2.7,['短视频'],61.84M
89,5c26c6deb031602c92eaa00f,63,174万,92,看点,149,2.1,['新闻'],4.04M
90,5c26c6e0b031602c92eaa010,1240,152万,1220,QQ空间,1299,2.0,"['空间', 'qzone', '交友']",31.40M
91,5c26c6e1b031602c92eaa011,908,155万,668,乐视视频,1095,1.9,"['手机电视', '电影', '视频']",70.42M
92,5c26c6e2b031602c92eaa012,1209,155万,1449,PP视频（原PPTV聚力视频）,488,3.5,"['视频', '电影', '看碟', '看片', '大片', 'pptv']",70.80M
93,5c26c6e4b031602c92eaa013,752,155万,903,熊猫直播,439,2.4,"['游戏直播', '电竞', '王思聪']",89.61M
94,5c26c6e5b031602c92eaa014,6024,155万,1.8万,存储空间清理,1.0万,4.7,"['优化加速', '清理优化', '空文件夹', '文件管理', '文件清理', '垃圾清理', '缓存清理', '清理大师']",2.81M
95,5c26c6e6b031602c92eaa015,1230,158万,924,VC浏览器,2150,2.7,['浏览器'],2.59M
96,5c26c6e7b031602c92eaa016,6095,158万,1.8万,Pure 轻雨 图标包,4925,4.8,['图标'],15.80M
97,5c26c6e8b031602c92eaa017,4820,159万,6131,爱字体,735,4.2,['字体'],8.95M
98,5c26c6eab031602c92eaa018,2777,161万,3707,12306智行火车票,3167,4.4,['火车'],37.32M
99,5c26c6eab031602c92eaa019,8251,162万,1.0万,TIM-QQ办公简洁版,1770,3.7,"['轻聊', '办公', 'QQ']",51.90M
100,5c26c6edb031602c92eaa01a,956,139万,1413,相机360,543,3.8,"['相机', '拍照', '照相']",48.94M
101,5c26c6eeb031602c92eaa01b,5754,141万,1.3万,阻止运行,1780,4.4,"['xposed', '冻结', '防自启', '链式唤醒']",2.68M
